"Player","Born","Url","Squad","Nation","player_dob","player_url","tm_squad","tm_nationality","player_position","comp_name","region","country","season_start_year","squad","player_nationality","player_market_value_euro"
"Angelo Rodríguez","1989","https://fbref.com/en/players/0e9ea6cf/Angelo-Rodriguez","Minnesota Utd","co COL",1989-04-04,"https://www.transfermarkt.com/angelo-rodriguez/profil/spieler/178116",NA,NA,"Centre-Forward","MLS","Americas","United States",2018,"Minnesota United FC","Colombia",1250000
"Angelo Rodríguez","1989","https://fbref.com/en/players/0e9ea6cf/Angelo-Rodriguez","Minnesota Utd","co COL",1989-07-23,"https://www.transfermarkt.com/victor-rodriguez/profil/spieler/129753",NA,NA,"Attacking Midfield","MLS","Americas","United States",2018,"Seattle Sounders FC","Spain",1500000
"Cristian Martínez","1997","https://fbref.com/en/players/fdb15495/Cristian-Martinez","Chicago Fire","pa PAN",1997-02-06,"https://www.transfermarkt.com/christian-martinez/profil/spieler/419247",NA,NA,"Midfield","MLS","Americas","United States",2018,"Chicago Fire FC","Panama",450000
"Cristian Martínez","1997","https://fbref.com/en/players/fdb15495/Cristian-Martinez","Chicago Fire","pa PAN",1997-06-05,"https://www.transfermarkt.com/douglas-martinez/profil/spieler/443384",NA,NA,"Centre-Forward","MLS","Americas","United States",2020,"Real Salt Lake City","Honduras",6e+05
"Cristian Martínez","1997","https://fbref.com/en/players/fdb15495/Cristian-Martinez","Chicago Fire","pa PAN",1997-03-15,"https://www.transfermarkt.com/isidro-martinez/profil/spieler/585732",NA,NA,"Defensive Midfield","MLS","Americas","United States",2018,"Houston Dynamo FC","United States",NA
"Gonzalo Nicolás Martínez","1993","https://fbref.com/en/players/cd00ceea/Gonzalo-Nicolas-Martinez","Atlanta Utd","ar ARG",1993-02-12,"https://www.transfermarkt.com/jose-antonio-martinez/profil/spieler/311287",NA,NA,"Centre-Back","MLS","Americas","United States",2021,"FC Dallas","Spain",1500000
"Gonzalo Nicolás Martínez","1993","https://fbref.com/en/players/cd00ceea/Gonzalo-Nicolas-Martinez","Atlanta Utd","ar ARG",1993-05-19,"https://www.transfermarkt.com/josef-martinez/profil/spieler/162569",NA,NA,"Centre-Forward","MLS","Americas","United States",2021,"Atlanta United FC","Venezuela",12500000
"Gonzalo Nicolás Martínez","1993","https://fbref.com/en/players/cd00ceea/Gonzalo-Nicolas-Martinez","Atlanta Utd","ar ARG",1993-06-13,"https://www.transfermarkt.com/pity-martinez/profil/spieler/281405",NA,NA,"Attacking Midfield","MLS","Americas","United States",2019,"Atlanta United FC","Argentina",1.2e+07
"José Martínez","1993","https://fbref.com/en/players/8e049cbd/Jose-Martinez","FC Dallas","es ESP",1993-02-12,"https://www.transfermarkt.com/jose-antonio-martinez/profil/spieler/311287",NA,NA,"Centre-Back","MLS","Americas","United States",2021,"FC Dallas","Spain",1500000
"José Martínez","1993","https://fbref.com/en/players/8e049cbd/Jose-Martinez","FC Dallas","es ESP",1993-05-19,"https://www.transfermarkt.com/josef-martinez/profil/spieler/162569",NA,NA,"Centre-Forward","MLS","Americas","United States",2021,"Atlanta United FC","Venezuela",12500000
"José Martínez","1993","https://fbref.com/en/players/8e049cbd/Jose-Martinez","FC Dallas","es ESP",1993-06-13,"https://www.transfermarkt.com/pity-martinez/profil/spieler/281405",NA,NA,"Attacking Midfield","MLS","Americas","United States",2019,"Atlanta United FC","Argentina",1.2e+07
"Valentín Castellanos","1998","https://fbref.com/en/players/da76bab4/Valentin-Castellanos","NYCFC","ar ARG",1998-05-11,"https://www.transfermarkt.com/robert-castellanos/profil/spieler/488127",NA,NA,"Centre-Back","MLS","Americas","United States",2020,"Nashville SC","United States",2e+05
"Valentín Castellanos","1998","https://fbref.com/en/players/da76bab4/Valentin-Castellanos","NYCFC","ar ARG",1998-10-03,"https://www.transfermarkt.com/taty-castellanos/profil/spieler/522784",NA,NA,"Centre-Forward","MLS","Americas","United States",2021,"New York City FC","Argentina",1.2e+07
"William Sands","2000","https://fbref.com/en/players/960a4473/William-Sands","Columbus Crew","us USA",2000-07-06,"https://www.transfermarkt.com/james-sands/profil/spieler/393321",NA,NA,"Centre-Back","MLS","Americas","United States",2020,"New York City FC","United States",2500000
"William Sands","2000","https://fbref.com/en/players/960a4473/William-Sands","Columbus Crew","us USA",2000-07-06,"https://www.transfermarkt.com/will-sands/profil/spieler/393327",NA,NA,"Left-Back","MLS","Americas","United States",2021,"Columbus Crew","United States",50000
