"id","name","ccode","country","season_id","season_name"
50,"EURO","INT","International",12715,"2020"
50,"EURO","INT","International",8479,"2016"
42,"Champions League","INT","International",16407,"2021/2022"
42,"Champions League","INT","International",15237,"2020/2021"
42,"Champions League","INT","International",14006,"2019/2020"
42,"Champions League","INT","International",12764,"2018/2019"
42,"Champions League","INT","International",11542,"2017/2018"
42,"Champions League","INT","International",10436,"2016/2017"
44,"Copa America","INT","International",15148,"2021"
44,"Copa America","INT","International",13572,"2019"
44,"Copa America","INT","International",10093,"2016"
73,"Europa League","INT","International",16640,"2021/2022"
73,"Europa League","INT","International",15238,"2020/2021"
73,"Europa League","INT","International",14007,"2019/2020"
73,"Europa League","INT","International",12765,"2018/2019"
73,"Europa League","INT","International",11543,"2017/2018"
73,"Europa League","INT","International",10327,"2016/2017"
47,"Premier League","ENG","England",16390,"2021/2022"
47,"Premier League","ENG","England",15382,"2020/2021"
47,"Premier League","ENG","England",14022,"2019/2020"
47,"Premier League","ENG","England",12776,"2018/2019"
47,"Premier League","ENG","England",11522,"2017/2018"
47,"Premier League","ENG","England",10418,"2016/2017"
54,"1. Bundesliga","GER","Germany",16494,"2021/2022"
54,"1. Bundesliga","GER","Germany",15481,"2020/2021"
54,"1. Bundesliga","GER","Germany",14144,"2019/2020"
54,"1. Bundesliga","GER","Germany",12876,"2018/2019"
54,"1. Bundesliga","GER","Germany",11623,"2017/2018"
54,"1. Bundesliga","GER","Germany",10512,"2016/2017"
87,"LaLiga","ESP","Spain",16520,"2021/2022"
87,"LaLiga","ESP","Spain",15585,"2020/2021"
87,"LaLiga","ESP","Spain",14180,"2019/2020"
87,"LaLiga","ESP","Spain",13025,"2018/2019"
87,"LaLiga","ESP","Spain",11742,"2017/2018"
87,"LaLiga","ESP","Spain",10639,"2016/2017"
53,"Ligue 1","FRA","France",16499,"2021/2022"
53,"Ligue 1","FRA","France",15293,"2020/2021"
53,"Ligue 1","FRA","France",14026,"2019/2020"
53,"Ligue 1","FRA","France",12737,"2018/2019"
53,"Ligue 1","FRA","France",11527,"2017/2018"
53,"Ligue 1","FRA","France",10381,"2016/2017"
130,"MLS","USA","United States",17185,"2022"
130,"MLS","USA","United States",16168,"2021"
130,"MLS","USA","United States",14818,"2020"
130,"MLS","USA","United States",13473,"2019"
130,"MLS","USA","United States",12376,"2018"
130,"MLS","USA","United States",11140,"2017"
130,"MLS","USA","United States",10095,"2016"
55,"Serie A","ITA","Italy",16621,"2021/2022"
55,"Serie A","ITA","Italy",15604,"2020/2021"
55,"Serie A","ITA","Italy",14290,"2019/2020"
55,"Serie A","ITA","Italy",13037,"2018/2019"
55,"Serie A","ITA","Italy",11768,"2017/2018"
55,"Serie A","ITA","Italy",10692,"2016/2017"
