"entity","full_stat"
"player","accurate_pass"
"player","big_chance_created"
"player","big_chance_missed"
"player","clean_sheet"
"player","effective_clearance"
"player","expected_goals"
"player","expected_goals_conceded"
"player","goal_assist"
"player","goals"
"player","mins_played_goal"
"player","ontarget_scoring_att"
"player","penalty_won"
"player","poss_won_att_3rd"
"player","rating"
"player","red_card"
"player","saves"
"player","total_att_assist"
"player","won_contest"
"player","won_tackle"
"player","yellow_card"
"team","accurate_pass_team"
"team","big_chance_created_team"
"team","big_chance_missed_team"
"team","clean_sheet_team"
"team","effective_clearance_team"
"team","expected_goals_conceded_team"
"team","expected_goals_team"
"team","goals_conceded_team_match"
"team","goals_team_match"
"team","ontarget_scoring_att_team"
"team","penalty_won_team"
"team","poss_won_att_3rd_team"
"team","possession_percentage"
"team","rating_team"
"team","saves_team"
"team","total_red_card"
"team","total_yel_card"
"team","won_tackle_team"
